Info 0    [21:35:30.086] Starting TS Server
Info 1    [21:35:30.089] Version: 4.4.4
Info 2    [21:35:30.089] Arguments: /usr/local/bin/node /usr/local/bin/tsserver --logFile /Users/trolbridge/.emacs.d/ts1/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/jt/0v91_3j57ks2gsvslt8wqstc0000gn/T/1306d81e0c70752c2d44a2df4c7d04b3/tscancellation*
Info 3    [21:35:30.089] Platform: darwin NodeVersion: 16 CaseSensitive: false
Info 4    [21:35:30.089] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [21:35:30.098] Format host information updated
Info 6    [21:35:30.100] Search path: /Users/trolbridge/.emacs.d/ts1
Info 7    [21:35:30.100] For info: /Users/trolbridge/.emacs.d/ts1/app.js :: No config files found.
Info 8    [21:35:30.102] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [21:35:30.411] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 308.6165421009064ms
Info 10   [21:35:30.411] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [21:35:30.411] 	Files (19)

Info 12   [21:35:30.411] -----------------------------------------------
Info 13   [21:35:39.942] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [21:35:39.951] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 8.718333005905151ms
Info 15   [21:35:39.951] Different program with same set of files
Info 16   [21:35:39.953] getCompletionData: Get current token: 0.0038340091705322266
Info 17   [21:35:39.953] getCompletionData: Is inside comment: 0.026207923889160156
Info 18   [21:35:39.953] getCompletionData: Get previous token: 0.09841692447662354
Info 19   [21:35:39.954] getCompletionsAtPosition: isCompletionListBlocker: 1.1091669797897339
Info 20   [21:35:39.959] getExportInfoMap: cache miss or empty; calculating new results
Info 21   [21:35:39.960] getExportInfoMap: done in 0.4350830316543579 ms
Info 22   [21:35:39.960] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 23   [21:35:39.960] collectAutoImports: response is complete
Info 24   [21:35:39.960] collectAutoImports: 0.08766698837280273
Info 25   [21:35:39.960] getCompletionData: Semantic work: 5.460416913032532
Info 26   [21:35:39.970] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.96416699886322
Info 27   [21:35:40.571] getCompletionData: Get current token: 0.01991593837738037
Info 28   [21:35:40.571] getCompletionData: Is inside comment: 0.04620802402496338
Info 29   [21:35:40.571] getCompletionData: Get previous token: 0.0765000581741333
Info 30   [21:35:40.571] getCompletionsAtPosition: isCompletionListBlocker: 0.04395794868469238
Info 31   [21:35:40.575] getCompletionData: Semantic work: 3.606874942779541
Info 32   [21:35:48.332] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 33   [21:35:48.343] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 10.459707975387573ms
Info 34   [21:35:48.343] Different program with same set of files
